,name,o-grade,abv-comment,location
141,classified,0,nice,"Germany, Frankenjura, Holzgauer Wand"
142,brunhilde low start,1,hard,"Norway, Flatanger"
143,transcription,1,fun,"Switzerland, Fribourg, Charmey"
144,made in ,1,hard,"PolandPoland, Jura Krakowsko - CzAstochowska, Podzamcze - GA3ra Zamkowa"
145,tct,1,nice,"Italy, Gravere"
146,la propha(c)tie des grenouilles,0,x,"France, BrianASSon, Rocher des Brumes"
147,ira,1,fun,"Spain, Bilbao, Baltzola"
148,psikoterapia,1,x,"Spain, Bilbao, Valdegobia (Villanueva de ValdegobAa)"
149,il domani,1,hard,"Spain, Bilbao, Baltzola"
150,back road,1,x,"Italy, Arco, Unknown Crag"
151,napalm in the morning,1,hard,"Austria, Rax-Schneeberg-Gruppe, AdlitzgrA$?ben"
152,todos los santos,1,amazing,"Spain, Roc Galliner"
153,9g,1,fun,"Italy, Gemona"
154,mollans cula(c),1,x,"France, Mont Ventoux, Mollans"
155,the house of shock,0,hard,"Germany, Frankenjura, Rotenstein"
156,the elder statesman,0,x,"Germany, Frankenjura, Rotenstein"
157,purgatory,1,perfect,"Norway, Trondheim, Hell"
158,maitre vauban und der basilisk,1,nice,"Austria, Rax-Schneeberg-Gruppe, HAPllental"
159,der lange atem,1,hard,"Austria, Rax-Schneeberg-Gruppe, HAPllental"
160,marsupilami,1,hard,"Germany, Kochel, Atlantiswand"
161,illusionist,1,hard,"Norway, Flatanger"
162,hakuna matata,1,x,"Italy, Val d'Aosta, Il Cubo"
163,palestina,1,x,"Spain, Cuenca, Valdecabras Sur"
164,southern smoke direct,0,hard,"United States, Red River Gorge (KY), Bob Marley"
165,climb for life,3,x,"Italy, Custonaci"
166,thor's hammer,1,hard,"Norway, Flatanger"
167,conda(c) de choc,1,bouldery,"France, BrianASSon, Entraygues"
168,duele la realidad r2,0,x,"Spain, Lleida, Oliana"
169,joe-cita,1,x,"Spain, Lleida, Oliana"
170,biologico,1,x,"Italy, Arco, Narango"
171,to tu jea!ta nebylo,1,awesome,"Czechia, LabskA(c) AodolA, DolnA A 1/2 leb"
172,the man that follows hell,1,hard,"Germany, Frankenjura, GrA 1/4 ne HAPlle"
173,gancho perfecto,1,easy,"Spain, Margalef, El RacA3 de La Finestra"
174,era vella,0,x,"Spain, Margalef, La Visera de La Coma"
175,rainshadow,1,x,"United Kingdom, Malham"
176,echolokace,1,x,"Czechia, BA 1/2 AA skA!la, Mor.kras"
177,le cadre nouvelle version,1,x,"France, CA(c)A 1/4 se, Biographie"
178,ppp,1,hard,"France, Verdon, Galetas"
179,shortcut,0,x,"France, Savoie, La Balme de Yenne"
180,northern lights,1,x,"United Kingdom, Kilnsey"
181,north star,1,hard,"United Kingdom, Kilnsey"
182,goldrake,1,x,"Italy, Milano, Cornalba"
183,tanec kuaa!tek,1,bouldery,"Czechia, JA!chymka, Mor.kras"
184,a muerte,1,hard,"Spain, Siurana, Can Piqui Pugui"
185,fabela pa la enmienda,1,x,"Spain, Lleida, Santa Linya"
186,a present for the future,4,x,"Italy, Valle dell'Opol"
187,xaxid hostel,1,hard,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
188,life's blood for the downtrodden,1,hard,"Germany, Frankenjura, Vergessene Welt"
189,the essential,1,x,"Germany, Frankenjura, Luisenwand (Burggrub)"
190,pantera,1,hard,"Germany, Frankenjura, Schneiderloch"
191,im reich des shogun,2,amazing,"Switzerland, Basler Jura, TA 1/4 fleten"
192,aloha,1,hard,"France, Alsace / Vosges, Kronthal"
193,fugu,1,x,"Austria, Wilder Kaiser, Schleierwasserfall"
194,der heilige gral,1,hard,"Germany, Frankenjura, Kolosseum"
195,hades,1,hard,"Austria, GAPtterwandl"
196,om,2,x,"Germany, Endstal"
197,los revolucionarios,3,strange,"Greece, Kalymnos, Odyssey"
198,roby in the sky,1,x,"France, Calanques, Rocher de Saint Michel d'eau douce (Goudes)"
199,halupca 1979,1,x,"Slovenia, Osp/Misja Pec, Luknja"
200,punt'x,3,hard,"France, Nice, Gorges du Loup"
201,campo con corvi,2,x,"Italy, Sardinia, Domusnovas"
202,weiae rose,1,x,"Austria, Wilder Kaiser, Schleierwasserfall"
203,action directe,1,x,"Germany, Frankenjura, Waldkopf"
204,unplugged,1,hard,"Germany, Frankenjura, HardcorewA$?ndchen"
205,sanjski par (extension),1,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
206,open your mind r2,1,hard,"Spain, Lleida, Santa Linya"
207,fuck the system,1,x,"Spain, Lleida, Santa Linya"
208,la novena enmienda,1,hard,"Spain, Lleida, Santa Linya"
209,perla va 1/2 chodu,1,hard,"Czechia, MoravskA 1/2  kras"
210,abyss,1,x,"France, Nice, Gorges du Loup"
211,erfolg ist trainierbar reclimbed,1,hard,"Austria, Rax-Schneeberg-Gruppe, AdlitzgrA$?ben"
212,martin krpan,1,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
213,sta(c)roa-de bul,0 +,x,"France, Nice, GrA(c)oliA""res"
214,vitamania,0,soft,"France, Annot, Annot"
215,inga,0 +,hard,"France, Nice, Gorges du Loup"
216,les temps difficiles,0,bouldery,"Switzerland, Basler Jura, SoyhiA""res"
217,filantrop l2,0 +,hard,"Slovakia, Harmanec Krpcovo"
218,haremyeb,0 +,bouldery,"Slovakia, VelkA! pec"
219,tadej slabe,0 +,x,"Slovakia, VelkA! pec"
220,joika,0 +,x,"Norway, Flatanger"
221,goosfraba,0,x,"Italy, Arco, Padaro"
222,solitary souls,0 +,perfect,"Italy, Arco, Le Piazzole"
223,dirty harry's brother,0,classic,"Austria, Vorarlberg, LorA 1/4 ns"
224,mezzo secolo,0 +,easy,"Italy, Arco, Unknown Crag"
225,zauberfee,0 +,hard,"Italy, Arco, Eremo di San Paolo"
226,house of cards,0 +,x,"Germany, Frankenjura, Rudl Borschert Ged.-Wand"
227,ba 1/2 aa krev,0 +,x,"Czechia, MoravskA 1/2  kras"
228,el potro,0 +,x,"Spain, Margalef, El Laboratori / Totxo d'en Fredi"
229,la bongada,1,x,"Spain, Margalef, Espadelles"
230,directa rodillar,1,hard,"Spain, Margalef, RacA3 de Les Espadelles"
231,juturna,0,x,"Austria, GAPtterwandl"
232,sid lives,0 +,x,"Italy, Arco, Nago"
233,"all in, i'm out",0 +,amazing,"Croatia, Istria, Kompanj"
234,blut und honig,0 +,hard,"Austria, Rax-Schneeberg-Gruppe, HAPllental"
235,guilty perpetua,0,x,"Spain, Lleida, St. LlorencISS de Montgai"
236,just do it,0 +,x,"United States, Smith Rocks (OR), Monkey Face"
237,four for glory,0 +,perfect,"Albania, Brar"
238,roctrip,0 +,x,"Croatia, DrasInice"
239,dioklecijan,0 +,hard,"Croatia, Split, Markezina greda"
240,first flight,0 +,hard,"Canada, Calgary, Acephale"
241,airmana,0 +,x,"Romania, Herculane"
242,black cobra (2),0 +,hard,"Romania, Herculane"
243,l'ultima reini,0 +,x,"Italy, Arco, Massone"
244,thunder ribes,0 +,x,"Italy, Arco, Massone"
245,puro dreaming,0 +,x,"Italy, Arco, Massone"
246,x-large,0 +,x,"Italy, Arco, Unknown Crag"
247,l'enfumette,0 +,x,"France, Saint LA(c)ger, Face Est"
248,it segid narc,0 +,x,"Italy, Sperlonga, Spiaggia dell'Arenauta"
249,grandi gesti,0,awesome,"Italy, Sperlonga, Spiaggia dell'Arenauta"
250,yala factor,0,amazing,"Israel, Nezer Cave"
251,inception,0 +,amazing,"Israel, Nezer Cave"
252,no hope goat farm,0 +,x,"Italy, Arco, Nago"
253,the right of spring,0 +,hard,"Norway, Flatanger"
254,halibut,0 +,x,"Norway, Flatanger"
255,samuraj,0 +,x,"Czechia, Holstejn"
256,le concept inta(c)grale,0 +,x,"France, Saint LA(c)ger, Unknown Crag"
257,politicamente corruptos,0 +,x,"Spain, Margalef, Margalef"
258,c'est la vie,0 +,x,"Slovakia, Alternativna stena"
259,pygocentrus,0 +,nice,"Germany, AllgA$?u, Starzlachklamm"
260,barracuda,0 +,perfect,"Germany, Bayerischer Wald, Kaitersberg - RauchrAPhren"
261,gimmelexpress,0 +,amazing,"Switzerland, Interlaken, Gimmelwand"
262,l'ultima pietra,0 +,hard,"Italy, Arco, Massone"
263,sciddica,0 +,hard,"Italy, San Vito lo Capo, Unknown Crag"
264,peaceful mind,0 +,x,"Czechia, RoviA!tA"
265,team vision,0 +,perfect,"Italy, Pal Picollo"
266,hell of a paradise,0 +,x,"Norway, Trondheim, Hell"
267,"andre ha,yre extension",0 +,amazing,"Norway, Flatanger"
268,witchhammer,0 +,easy,"Norway, Flatanger"
269,agent provokater,0 +,x,"Czechia, Rudice, Moravsky kras"
270,necessary evil,0,amazing,"United States, Arizona, Virgin River Gorge"
271,silent menace,0,x,"Canada, Squamish, Unknown Crag"
272,chromosome y,0,amazing,"Switzerland, Fribourg, Charmey"
273,senzace,0 +,nice,"Czechia, Krkavka"
274,kompletace,0 +,x,"Czechia, Krkavka"
275,za staro kolo in majhnega psa,0 +,hard,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
276,il paradiso e altrove,0 +,x,"Italy, passo monte croce"
277,love 2.1,0 +,x,"Austria, Zillertal, Ewige JagdgrA 1/4 nde"
278,super plafond,0 +,bouldery,"France, Aix-en-Provence, Volx"
279,deportace ze zeme,13,x,"Czechia, Sloup"
280,underground,0 +,hard,"Italy, Arco, Massone"
281,sever the wicked hand,2,soft,"Germany, Frankenjura, HA$?ngender Stein"
282,art of flight,0 +,amazing,"Norway, Flatanger"
283,the trap,0 +,hard,"Norway, Flatanger"
284,cabane au ,0 +,not hard,"CanadaSwitzerland, Valais Central, Rawyl"
285,jaws 11,0,fun,"Germany, Kochel, Atlantiswand"
286,dharma,0 +,x,"Norway, Flatanger"
287,chambao,0 +,x,"Spain, Bilbao, Baltzola"
288,tres satelites,14,x,"Spain, Jaen"
